,CombinationType,CreateDate,DeliveryMonth,DeliveryYear,EndDelivDate,ExchangeID,ExchangeInstID,ExpireDate,InstLifePhase,InstrumentID,InstrumentName,IsTrading,LongMarginRatio,MaxLimitOrderVolume,MaxMarginSideAlgorithm,MaxMarketOrderVolume,MinLimitOrderVolume,MinMarketOrderVolume,OpenDate,OptionsType,PositionDateType,PositionType,PriceTick,ProductClass,ProductID,ShortMarginRatio,StartDelivDate,StrikePrice,UnderlyingInstrID,UnderlyingMultiple,VolumeMultiple
43,b'0',b'20160816',9.0,2018.0,b'20180924',b'SHFE',b'bu1809',b'20180917',b'1',b'bu1809',b'\xc1\xa4\xc7\xe01809',1.0,0.06999999999999999,500.0,b'1',30.0,1.0,1.0,b'20160920',b'\x00',b'1',b'2',2.0,b'1',b'bu',0.06999999999999999,b'20180918',0.0,b'',0.0,10.0
44,b'0',b'20151008',10.0,2016.0,b'20161019',b'SHFE',b'cu1610',b'20161017',b'1',b'cu1610',b'\xcd\xad1610',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151016',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20161018',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
45,b'0',b'20151106',11.0,2016.0,b'20161117',b'SHFE',b'cu1611',b'20161115',b'1',b'cu1611',b'\xcd\xad1611',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151117',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20161116',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
46,b'0',b'20151207',12.0,2016.0,b'20161219',b'SHFE',b'cu1612',b'20161215',b'1',b'cu1612',b'\xcd\xad1612',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20151216',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20161216',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
47,b'0',b'20160105',1.0,2017.0,b'20170118',b'SHFE',b'cu1701',b'20170116',b'1',b'cu1701',b'\xcd\xad1701',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160118',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170117',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
48,b'0',b'20160202',2.0,2017.0,b'20170217',b'SHFE',b'cu1702',b'20170215',b'1',b'cu1702',b'\xcd\xad1702',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160216',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170216',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
49,b'0',b'20160303',3.0,2017.0,b'20170317',b'SHFE',b'cu1703',b'20170315',b'1',b'cu1703',b'\xcd\xad1703',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160316',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170316',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
50,b'0',b'20160407',4.0,2017.0,b'20170419',b'SHFE',b'cu1704',b'20170417',b'1',b'cu1704',b'\xcd\xad1704',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160418',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170418',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
51,b'0',b'20160506',5.0,2017.0,b'20170517',b'SHFE',b'cu1705',b'20170515',b'1',b'cu1705',b'\xcd\xad1705',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160517',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170516',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
52,b'0',b'20160603',6.0,2017.0,b'20170619',b'SHFE',b'cu1706',b'20170615',b'1',b'cu1706',b'\xcd\xad1706',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160616',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170616',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
53,b'0',b'20160705',7.0,2017.0,b'20170719',b'SHFE',b'cu1707',b'20170717',b'1',b'cu1707',b'\xcd\xad1707',1.0,0.08,500.0,b'1',500.0,1.0,1.0,b'20160718',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170718',1.7976931348623157e+308,b'',1.7976931348623157e+308,5.0
54,b'0',b'20160714',8.0,2017.0,b'20170822',b'SHFE',b'cu1708',b'20170815',b'1',b'cu1708',b'\xcd\xad1708',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160816',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170816',0.0,b'',0.0,5.0
55,b'0',b'20160816',9.0,2017.0,b'20170922',b'SHFE',b'cu1709',b'20170915',b'1',b'cu1709',b'\xcd\xad1709',1.0,0.08,500.0,b'1',30.0,1.0,1.0,b'20160920',b'\x00',b'1',b'2',10.0,b'1',b'cu',0.08,b'20170918',0.0,b'',0.0,5.0
56,b'0',b'20151008',11.0,2016.0,b'20161102',b'SHFE',b'fu1611',b'20161031',b'1',b'fu1611',b'\xc8\xbc\xc1\xcf\xd3\xcd1611',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20151102',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20161101',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
57,b'0',b'20151106',12.0,2016.0,b'20161202',b'SHFE',b'fu1612',b'20161130',b'1',b'fu1612',b'\xc8\xbc\xc1\xcf\xd3\xcd1612',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20151201',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20161201',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
58,b'0',b'20160105',2.0,2017.0,b'20170202',b'SHFE',b'fu1702',b'20170131',b'1',b'fu1702',b'\xc8\xbc\xc1\xcf\xd3\xcd1702',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160201',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170201',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
59,b'0',b'20160202',3.0,2017.0,b'20170302',b'SHFE',b'fu1703',b'20170228',b'1',b'fu1703',b'\xc8\xbc\xc1\xcf\xd3\xcd1703',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160301',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170301',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
60,b'0',b'20160303',4.0,2017.0,b'20170404',b'SHFE',b'fu1704',b'20170331',b'1',b'fu1704',b'\xc8\xbc\xc1\xcf\xd3\xcd1704',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160401',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170403',0.0,b'',0.0,50.0
61,b'0',b'20160407',5.0,2017.0,b'20170504',b'SHFE',b'fu1705',b'20170428',b'1',b'fu1705',b'\xc8\xbc\xc1\xcf\xd3\xcd1705',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160503',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170503',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
62,b'0',b'20160506',6.0,2017.0,b'20170602',b'SHFE',b'fu1706',b'20170531',b'1',b'fu1706',b'\xc8\xbc\xc1\xcf\xd3\xcd1706',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160601',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170601',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
63,b'0',b'20160603',7.0,2017.0,b'20170704',b'SHFE',b'fu1707',b'20170630',b'1',b'fu1707',b'\xc8\xbc\xc1\xcf\xd3\xcd1707',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160701',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170703',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
64,b'0',b'20160705',8.0,2017.0,b'20170802',b'SHFE',b'fu1708',b'20170731',b'1',b'fu1708',b'\xc8\xbc\xc1\xcf\xd3\xcd1708',1.0,0.2,500.0,b'1',500.0,1.0,1.0,b'20160801',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170801',1.7976931348623157e+308,b'',1.7976931348623157e+308,50.0
65,b'0',b'20160801',9.0,2017.0,b'20170907',b'SHFE',b'fu1709',b'20170831',b'1',b'fu1709',b'\xc8\xbc\xc1\xcf\xd3\xcd1709',1.0,0.2,500.0,b'1',30.0,1.0,1.0,b'20160901',b'\x00',b'1',b'2',1.0,b'1',b'fu',0.2,b'20170901',0.0,b'',0.0,50.0
